epoch,train_loss,val_loss,epoch_time_s
1,7.177377633896009,6.232897009168353,11.303947925567627
2,5.856579433325976,5.47997850841946,9.619220495223999
3,5.371513901976455,5.191014267149425,10.11861538887024
4,5.156846115898281,5.045358128017849,11.473047733306885
5,5.040750179155259,4.970784724704803,13.378800392150879
6,4.967060983498609,4.915002361176506,10.225149154663086
7,4.912302115459002,4.878189942193409,10.260783195495605
8,4.866958236186162,4.834861785646469,11.531315088272095
9,4.817510583684457,4.796835589030432,15.220766544342041
10,4.775355867551868,4.772350833529518,11.59154200553894
11,4.741611658573998,4.751043978191557,14.059139966964722
12,4.714109583392236,4.732192342243497,14.854394674301147
13,4.6890243882607825,4.719665550050282,12.12924313545227
14,4.66666130824792,4.7066283831520686,9.201528072357178
15,4.649046355835286,4.691848626212468,8.949474573135376
16,4.632418757010099,4.680166721343994,8.976613521575928
17,4.616695818215026,4.6755739317999945,9.772071361541748
18,4.6002981209627904,4.66240976727198,9.174043655395508
19,4.587805910601709,4.656349061027406,9.44672417640686
20,4.576645545383541,4.64802574732947,13.984804391860962
21,4.5627125380941225,4.638135198562864,15.39708948135376
22,4.552793881397688,4.631540881262885,14.39891529083252
23,4.543956395787837,4.631029711829291,14.110447883605957
24,4.535109853659811,4.6246976095532615,10.65710711479187
25,4.527629770140029,4.618811554378933,11.879064321517944
26,4.518676053143733,4.614912835378496,13.374316692352295
27,4.510729271395803,4.61138741932218,10.198508024215698
28,4.502831618273449,4.609062482440282,11.350160837173462
29,4.496377939017585,4.603134283943782,10.350575923919678
30,4.488827331874976,4.600887154775952,11.054554224014282
31,4.48254064810636,4.59450576418922,14.854522943496704
32,4.475925454026217,4.591097975534106,17.793563842773438
33,4.471150067093952,4.5914767734588136,18.26435089111328
34,4.462840932300629,4.5883266736590675,12.421357870101929
35,4.458482815147929,4.587204259539408,11.899576187133789
36,4.4545449871788225,4.582905156271798,12.884387731552124
37,4.448388228407973,4.580840519496372,10.984843492507935
38,4.444575923797716,4.579692764887734,11.89382553100586
39,4.438924059351215,4.578427927834647,11.551764249801636
40,4.433708456015714,4.576784103635758,11.606315851211548
